1	61	27	353285046376299	1992-3-5	496
2	139	76	359254062241211	2009-11-5	158
3	166	36	353327053809281	2018-9-16	431
4	130	49	353166057248892	1995-10-11	376
5	54	91	011245005073984	1998-8-18	301
6	12	93	353285041801945	1999-7-25	235
7	51	132	013327007430376	2009-12-11	511
8	70	110	358815059546860	1996-9-10	737
9	48	158	355114051600369	2006-5-16	434
10	44	30	359290057508925	2000-6-28	128
11	168	136	011948002035555	2003-4-19	436
12	105	40	358031065695358	1993-6-4	910
13	170	71	011948001857629	1999-3-4	265
14	148	54	356996017142208	2013-2-14	808
15	132	37	358815058533505	1997-7-24	770
16	73	75	358387063038987	2011-4-11	863
17	11	80	351549009675423	2007-3-5	816
18	114	101	353327051653954	1990-6-27	364
19	80	144	358240053142691	2009-1-11	551
20	162	21	353918051386643	2001-3-17	760
21	84	41	013006008188676	2017-1-3	552
22	164	5	358240054545264	2014-1-14	207
23	102	141	351710051307659	2018-9-5	772
24	169	128	358967048448425	2011-2-13	959
25	85	131	359254068300110	2011-5-23	840
26	103	112	358387061335179	2012-3-3	89
27	22	106	351549005984688	2016-6-12	966
28	160	14	358755059508785	2001-3-24	201
29	39	127	353285047478490	2016-8-8	227
30	19	22	353166054139219	1995-1-16	442
31	116	83	357441059949888	2015-7-11	740
32	29	166	353327059589416	2003-11-16	412
33	113	62	351549004811866	2001-7-1	886
34	92	117	355114052792819	1994-6-19	584
35	13	18	358387066316851	1994-3-24	600
36	104	143	356996018255298	2004-6-17	326
37	147	19	358755059624004	2000-4-16	43
38	122	60	356996012499066	2004-12-18	214
39	49	103	353285045137254	2017-4-23	422
40	140	67	353258074695849	2009-1-9	246
41	111	48	353327051033231	2013-3-10	552
42	59	15	353258071906868	2011-8-25	731
43	74	104	359206055680474	2009-12-22	476
44	90	169	329304005578406	2006-4-24	960
45	95	70	350890805252566	1998-12-23	354
46	150	105	013006004854735	2015-11-18	222
47	67	92	359092052742768	2015-12-9	104
48	64	25	353327058602079	2018-10-17	337
49	45	148	350890807322383	1996-9-18	865
50	82	138	353160048428234	2014-11-26	485
51	112	78	353166051501361	2009-9-25	216
52	83	10	358387063239262	1995-5-12	351
53	91	52	355114058450487	1996-6-20	741
54	135	47	329304001220367	2011-6-13	719
55	56	65	355114051715639	2013-12-15	762
56	23	133	358755054435893	2016-2-11	106
57	10	73	356996018756543	1991-8-6	41
58	118	168	011948003361513	2009-3-19	992
59	137	79	329304004475133	2017-10-14	871
60	78	74	353327053198701	1994-1-23	792
61	100	57	012336006304368	2012-4-19	358
62	62	111	358031063780327	2010-3-4	552
63	97	59	353160044965270	2009-9-22	676
64	93	64	359092052687708	2008-7-28	619
65	55	77	359092058360433	2009-12-1	66
66	123	16	359290054988609	2007-10-17	493
67	1	100	351549003697225	1999-6-8	108
68	89	50	351710058016071	2004-5-14	241
69	21	43	359206052361318	2016-11-17	705
70	33	118	013006008451736	2005-12-10	62
71	37	130	011245003424122	1998-7-17	31
72	38	33	011948002613575	1994-11-7	240
73	34	1	356996011021424	2008-8-11	554
74	87	8	353285041612896	1991-6-6	448
75	106	23	351549005169595	2018-3-21	110
76	86	45	011245009359223	2014-6-2	186
77	145	28	013327006105482	1990-1-17	768
78	72	161	359206057551319	2002-2-21	529
79	77	135	355114051121754	2004-2-9	472
80	165	63	359092051639429	2002-1-14	501
81	69	12	358967044691820	1995-10-2	342
82	52	115	358240057063687	2014-2-28	960
83	7	95	359290057034633	2011-2-20	903
84	131	90	358967046260855	1992-3-11	501
85	79	165	013006005076585	1990-7-11	462
86	143	89	358755053661077	2005-9-13	285
